Symbol,Name,Last,Change,%Change,Open,High,Low,Volume,Time
PYPL,"Paypal Holdings",73.02,2.77,+3.94%,76.21,79.21,72.83,83065875,"16:29 ET"
RF,"Regions Financial Corp",24.27,0.03,+0.12%,24.17,24.45,24.03,52777902,2025-10-28
RJF,"Raymond James Financial",159.69,-2.03,-1.26%,161.82,162.32,159.56,1081671,2025-10-28
SCHW,"The Charles Schwab Corp",93.85,-0.99,-1.04%,94.97,95,93.51,7061211,2025-10-28
SPGI,"S&P Global Inc",493.68,-2.96,-0.60%,495.34,498.22,492.63,1327960,2025-10-28
STT,"State Street Corp",118.68,1.65,+1.41%,117.03,118.98,116.61,3177231,2025-10-28
SYF,"Synchrony Financial",74.72,-0.24,-0.32%,75,75.07,74.25,2307868,2025-10-28
TFC,"Truist Financial Corp",44.33,-0.3,-0.67%,44.5,44.65,44.11,7049703,2025-10-28
TROW,"T Rowe Price Group",104.96,0.05,+0.05%,104.85,105.34,103.73,1156539,"16:15 ET"
TRV,"The Travelers Companies Inc",268.13,-2.21,-0.82%,269.45,272.32,267.52,1339548,2025-10-28
USB,"U.S. Bancorp",47.27,-0.53,-1.11%,47.54,47.67,47.09,7547851,2025-10-28
V,"Visa Inc",346.9,-0.92,-0.26%,348.58,349.89,346.5,7194494,2025-10-28
WFC,"Wells Fargo & Company",86.9,-0.11,-0.13%,87.06,87.3,85.78,13160601,2025-10-28
WRB,"W.R. Berkley Corp",72.61,-2.65,-3.52%,75.06,75.06,72.35,3052231,2025-10-28
WTW,"Willis Towers Watson Public Ltd",320.37,-6.49,-1.99%,325.24,325.24,319.7,696369,"16:24 ET"
XYZ,"Block Inc",80.18,0.03,+0.04%,80.16,81.7,79.77,3934905,2025-10-28
"Downloaded from Barchart.com as of 10-28-2025 04:51pm CDT"
